Part;Value;Device;Package
C1;100n;C-EU050-025X075;C050-025X075
C2;1u;C-EU050-055X075;C050-055X075
C3;4n7;C-EU050-025X075;C050-025X075
C4;100n;C-EU050-025X075;C050-025X075
C5;100n;C-EU050-025X075;C050-025X075
C6;100n;C-EU050-025X075;C050-025X075
C7;47u;CPOL-USE2.5-6;E2,5-6
C8;1n;C-EU050-025X075;C050-025X075
C9;100n;C-EU050-025X075;C050-025X075
C10;100n;C-EU050-025X075;C050-025X075
C11;1u;C-EU050-055X075;C050-055X075
C12;1u;C-EU050-055X075;C050-055X075
C13;4n7;C-EU050-025X075;C050-025X075
C14;100n;C-EU050-025X075;C050-025X075
C15;100n;C-EU050-025X075;C050-025X075
C16;100n;C-EU050-025X075;C050-025X075
C17;47u;CPOL-USE2.5-6;E2,5-6
C18;1n;C-EU050-025X075;C050-025X075
C19;100n;C-EU050-025X075;C050-025X075
C20;100n;C-EU050-025X075;C050-025X075
C21;1u;C-EU050-055X075;C050-055X075
C22;4n7;C-EU050-025X075;C050-025X075
C23;100n;C-EU050-025X075;C050-025X075
C24;47u;CPOL-USE2.5-6;E2,5-6
C25;100n;C-EU050-025X075;C050-025X075
C26;100n;C-EU050-025X075;C050-025X075
C27;1n;C-EU050-025X075;C050-025X075
C28;100n;C-EU050-025X075;C050-025X075
C29;100n;C-EU050-025X075;C050-025X075
C30;4n7;C-EU050-025X075;C050-025X075
C31;100n;C-EU050-025X075;C050-025X075
C32;47u;CPOL-USE2.5-6;E2,5-6
C33;100n;C-EU050-025X075;C050-025X075
C34;100n;C-EU050-025X075;C050-025X075
C35;1n5;C-EU050-025X075;C050-025X075
C36;100n;C-EU050-025X075;C050-025X075
C37;100n;C-EU050-025X075;C050-025X075
C38;1n5;C-EU050-025X075;C050-025X075
C39;4n7;C-EU050-025X075;C050-025X075
C40;1u;C-EU050-055X075;C050-055X075
C41;1u;C-EU050-055X075;C050-055X075
C42;1u;C-EU050-055X075;C050-055X075
C43;1u;C-EU050-055X075;C050-055X075
C44;100u;CPOL-USE2.5-6;E2,5-6
C45;47u;CPOL-USE2.5-6;E2,5-6
C46;10n;C-EU050-025X075;C050-025X075
C47;10u;CPOL-USE2.5-6;E2,5-6
C48;1u;C-EU050-025X075;C050-025X075
C49;10n;C-EU050-025X075;C050-025X075
C50;10u;CPOL-USE2.5-6;E2,5-6
C51;1u;C-EU050-025X075;C050-025X075
C52;100u;CPOL-USE2.5-6;E2,5-6
C53;1u;C-EU050-055X075;C050-055X075
D1;1N5817;DO41.3;DO41-3
D2;LED.3;LED.3;3MM_2
DWELL;B50k;16MM.1;16MM_B.MOUNT
IC1;PT2399;DIP16_TH;DIP16
IC2;PT2399;DIP16_TH;DIP16
IC3;PT2399;DIP16_TH;DIP16
IC4;PT2399;DIP16_TH;DIP16
IC5;TL072P;TL072P;DIL08
IC6;TL074P;TL074P;DIL14
IC7;7805T;7805T;TO220H
IN;LSP10;LSP10;LSP10
LED;LSP10;LSP10;LSP10
MIX;B50k;16MM.1;16MM_B.MOUNT
MODE;;SPDT.LUGS;SPDT.LUGS
R1;1M;R-US_0204/7;0204/7
R2;100k;R-US_0204/7;0204/7
R3;100k;R-US_0204/7;0204/7
R4;10k;R-US_0204/7;0204/7
R5;15k;R-US_0204/7;0204/7
R6;10k;R-US_0204/7;0204/7
R7;68k;R-US_0204/7;0204/7
R8;10k;R-US_0204/7;0204/7
R9;RLED;R-US_0204/7;0204/7
R10;4k7;R-US_0204/7;0204/7
R11;8k2;R-US_0204/7;0204/7
R12;10k;R-US_0204/7;0204/7
R13;22k;R-US_0204/7;0204/7
R14;22k;R-US_0204/7;0204/7
R15;12k;R-US_0204/7;0204/7
R16;10k;R-US_0204/7;0204/7
R17;12k;R-US_0204/7;0204/7
R18;3k3;R-US_0204/7;0204/7
R19;22k;R-US_0204/7;0204/7
R20;8k2;R-US_0204/7;0204/7
R21;12k;R-US_0204/7;0204/7
R22;10k;R-US_0204/7;0204/7
R23;12k;R-US_0204/7;0204/7
R24;12k;R-US_0204/7;0204/7
R25;12k;R-US_0204/7;0204/7
R26;12k;R-US_0204/7;0204/7
R27;8k2;R-US_0204/7;0204/7
R28;22k;R-US_0204/7;0204/7
R29;22k;R-US_0204/7;0204/7
R30;12k;R-US_0204/7;0204/7
R31;12k;R-US_0204/7;0204/7
R32;12k;R-US_0204/7;0204/7
R33;12k;R-US_0204/7;0204/7
R34;1k2;R-US_0204/7;0204/7
R35;10k;R-US_0204/7;0204/7
R36;10k;R-US_0204/7;0204/7
R37;22k;R-US_0204/7;0204/7
R38;10k;R-US_0204/7;0204/7
R39;22k;R-US_0204/7;0204/7
R41;10k;R-US_0204/7;0204/7
R42;22k;R-US_0204/7;0204/7
R43;10k;R-US_0204/7;0204/7
R44;22k;R-US_0204/7;0204/7
R45;22k;R-US_0204/7;0204/7
R46;22k;R-US_0204/7;0204/7
R47;1k;R-US_0204/7;0204/7
R48;100k;R-US_0204/7;0204/7
R50;10k;R-US_0204/7;0204/7
R51;10k;R-US_0204/7;0204/7
R52;220k;R-US_0204/7;0204/7
R53;220k;R-US_0204/7;0204/7
R54;220k;R-US_0204/7;0204/7
R55;220k;R-US_0204/7;0204/7
R56;82k;R-US_0204/7;0204/7
R57;56k;R-US_0204/7;0204/7
R58;47k;R-US_0204/7;0204/7
R59;220k;R-US_0204/7;0204/7
R60;220k;R-US_0204/7;0204/7
R61;220k;R-US_0204/7;0204/7
R62;220k;R-US_0204/7;0204/7
R63;82k;R-US_0204/7;0204/7
R64;100k;R-US_0204/7;0204/7
R65;10k;R-US_0204/7;0204/7
R66;RSIZE;R-US_0204/7;0204/7
R67;RDWELL;R-US_0204/7;0204/7
SIZE;B10k;DUALGANG.2;16MM_DUALGANG
