Qty;Value;Device;Package;Parts
1;;DO41.3;DO41-3;D1
1;;SPDT.LUGS;SPDT.LUGS;MODE
4;100k;R-US_0204/7;0204/7;R2, R3, R48, R64
21;100n;C-EU050-025X075;C050-025X075;C1, C4, C5, C6, C9, C10, C14, C15, C16, C19, C20, C23, C25, C26, C28, C29, C31, C33, C34, C36, C37
2;100u;CPOL-USE2.5-6;E2,5-6;C44, C52
14;10k;R-US_0204/7;0204/7;R4, R6, R8, R12, R16, R22, R35, R36, R38, R41, R43, R50, R51, R65
2;10n;C-EU050-025X075;C050-025X075;C46, C49
2;10u;CPOL-USE2.5-6;E2,5-6;C47, C50
11;12k;R-US_0204/7;0204/7;R15, R17, R21, R23, R24, R25, R26, R30, R31, R32, R33
1;15k;R-US_0204/7;0204/7;R5
1;1M;R-US_0204/7;0204/7;R1
1;1k;R-US_0204/7;0204/7;R47
1;1k2;R-US_0204/7;0204/7;R34
3;1n;C-EU050-025X075;C050-025X075;C8, C18, C27
2;1n5;C-EU050-025X075;C050-025X075;C35, C38
2;1u;C-EU050-025X075;C050-025X075;C48, C51
9;1u;C-EU050-055X075;C050-055X075;C2, C11, C12, C21, C40, C41, C42, C43, C53
8;220k;R-US_0204/7;0204/7;R52, R53, R54, R55, R59, R60, R61, R62
11;22k;R-US_0204/7;0204/7;R13, R14, R19, R28, R29, R37, R39, R42, R44, R45, R46
1;3k3;R-US_0204/7;0204/7;R18
1;47k;R-US_0204/7;0204/7;R58
5;47u;CPOL-USE2.5-6;E2,5-6;C7, C17, C24, C32, C45
1;4k7;R-US_0204/7;0204/7;R10
5;4n7;C-EU050-025X075;C050-025X075;C3, C13, C22, C30, C39
1;56k;R-US_0204/7;0204/7;R57
1;68k;R-US_0204/7;0204/7;R7
1;7805T;7805T;TO220H;IC7
2;82k;R-US_0204/7;0204/7;R56, R63
3;8k2;R-US_0204/7;0204/7;R11, R20, R27
1;B10k;DUALGANG.2;16MM_DUALGANG;SIZE
2;B50k;16MM.1;16MM_B.MOUNT;DWELL, MIX
1;LED.3;LED.3;3MM_2;D2
4;PT2399;DIP16_TH;DIP16;IC1, IC2, IC3, IC4
1;RDWELL;R-US_0204/7;0204/7;R67
1;RLED;R-US_0204/7;0204/7;R9
1;RSIZE;R-US_0204/7;0204/7;R66
1;TL072P;TL072P;DIL08;IC5
1;TL074P;TL074P;DIL14;IC6
